ID,Subtype,GPSC,ST,Country,Affiliation,Latitude,Longitude
ERR1065994,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1066051,19A-I,17,8307,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1066066,19A-I,17,11114,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1066070,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1066077,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1066109,19A-II,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1066117,19A-I,17,6255,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1066124,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1066126,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1066139,19A-I,17,6258,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1066179,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1066233,19A-I,17,11122,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1066268,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1066290,19A-I,17,6121,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1066346,19A-I,17,6121,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1066361,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1066364,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1066371,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR1191880,19A-I,10,2013,MOROCCO,Gladstone,32,-5
ERR1191884,19A-I,10,2013,MOROCCO,Gladstone,32,-5
ERR1191888,19A,1,3259,MOROCCO,Gladstone,32,-5
ERR1192149,19A,1,320,MOROCCO,Gladstone,32,-5
ERR1192151,19A-I,10,2013,MOROCCO,Gladstone,32,-5
ERR1202204,19A,53,847,MALAWI,Gladstone,-13.5,34
ERR1202238,19A-I,17,12152,MALAWI,Gladstone,-13.5,34
ERR1202564,19A,4,199,USA,Gladstone,40,-100
ERR1202568,19A,4,199,USA,Gladstone,40,-100
ERR1202574,19A,4,199,USA,Gladstone,40,-100
ERR1202578,19A,4,667,USA,Gladstone,40,-100
ERR1202585,19A,27,695,USA,Gladstone,40,-100
ERR1202587,19A-I,5,8197,USA,Gladstone,40,-100
ERR1202590,19A,27,695,USA,Gladstone,40,-100
ERR1202592,19A,24,12358,USA,Gladstone,40,-100
ERR1202594,19A,9,12360,USA,Gladstone,40,-100
ERR1214391,19A-I,338,2665,EGYPT,Gladstone,27,30
ERR1214404,19A-I,10,2013,EGYPT,Gladstone,27,30
ERR1214417,19A-I,5,172,EGYPT,Gladstone,27,30
ERR1214431,19A-I,5,172,QATAR,Gladstone,25.286106,51.534817
ERR1214432,19A-I,10,6353,QATAR,Gladstone,25.286106,51.534817
ERR1214435,19A-I,5,172,QATAR,Gladstone,25.286106,51.534817
ERR1214464,19A-I,10,2013,QATAR,Gladstone,25.286106,51.534817
ERR1214465,19A-I,5,172,QATAR,Gladstone,25.286106,51.534817
ERR1333961,19A-I,10,2013,MOROCCO,Gladstone,32,-5
ERR1422355,19A-I,17,8303,QATAR,Gladstone,25.286106,51.534817
ERR1422357,19A-I,5,2345,QATAR,Gladstone,25.286106,51.534817
ERR1422363,19A-I,5,2345,QATAR,Gladstone,25.286106,51.534817
ERR1422368,19A-I,5,172,QATAR,Gladstone,25.286106,51.534817
ERR1422372,19A,1,320,QATAR,Gladstone,25.286106,51.534817
ERR1422381,19A-I,5,172,QATAR,Gladstone,25.286106,51.534817
ERR1422406,19A,1,320,PERU,Gladstone,-12,-76.8333
ERR1422412,19A,69,5452,PERU,Gladstone,-12,-76.8333
ERR1422427,19A,252,6048,PERU,Gladstone,-12,-76.8333
ERR1422435,19A-II,10,276,PERU,Gladstone,-12,-76.8333
ERR1422493,19A-I,5,1131,PERU,Gladstone,-12,-76.8333
ERR1422506,19A,1,320,PERU,Gladstone,-12,-76.8333
ERR1422557,19A,1,320,PERU,Gladstone,-12,-76.8333
ERR1422598,19A-II,10,276,PERU,Gladstone,-12,-76.8333
ERR1422619,19A-I,5,1131,PERU,Gladstone,-12,-76.8333
ERR1422627,19A-I,5,1131,PERU,Gladstone,-12,-76.8333
ERR1422646,19A-I,10,230,USA,Gladstone,40,-100
ERR1422648,19A,1,320,USA,Gladstone,40,-100
ERR1422649,19A-I,5,10150,USA,Gladstone,40,-100
ERR1422650,19A,4,199,USA,Gladstone,40,-100
ERR1422652,19A,1,1451,USA,Gladstone,40,-100
ERR1422680,19A,4,667,USA,Gladstone,40,-100
ERR1422685,19A,4,199,USA,Gladstone,40,-100
ERR1422689,19A,1,320,USA,Gladstone,40,-100
ERR1422691,19A,1,320,USA,Gladstone,40,-100
ERR1422694,19A,4,199,USA,Gladstone,40,-100
ERR1453591,19A,53,847,CHINA,Gladstone,22.2996535,114.1675485
ERR1453646,19A-II,4,2081,CHINA,Gladstone,22.2996535,114.1675485
ERR1453662,19A,1,320,CHINA,Gladstone,22.2996535,114.1675485
ERR1453693,19A,1,320,CHINA,Gladstone,22.2996535,114.1675485
ERR1453699,19A,1,320,CHINA,Gladstone,22.2996535,114.1675485
ERR1453759,19A,4,1757,CHINA,Gladstone,22.2996535,114.1675485
ERR1453760,19A,1,320,CHINA,Gladstone,22.2996535,114.1675485
ERR1453761,19A,1,320,CHINA,Gladstone,22.2996535,114.1675485
ERR1453762,19A,1,320,CHINA,Gladstone,22.2996535,114.1675485
ERR1756392,19A,1,320,INDIA,Gladstone,20,77
ERR1756400,19A-I,558,2464,INDIA,Gladstone,20,77
ERR1756416,19A-I,560,12488,INDIA,Gladstone,20,77
ERR1756434,19A-I,10,12474,INDIA,Gladstone,20,77
ERR1756442,19A-I,10,12474,INDIA,Gladstone,20,77
ERR1756451,19A,1,320,INDIA,Gladstone,20,77
ERR1788180,19A,1,320,RUSSIAN_FEDERATION,Gladstone,55.761035,37.536004
ERR1788228,19A,1,320,BELARUS,Gladstone,53,28
ERR1788277,19A,1,320,BELARUS,Gladstone,53,28
ERR1788278,19A,1,320,BELARUS,Gladstone,53,28
ERR1788282,19A-II,10,276,BELARUS,Gladstone,53,28
ERR1788297,19A,1,320,BELARUS,Gladstone,53,28
ERR1788308,19A-II,5,11899,BELARUS,Gladstone,53,28
ERR1788321,19A-II,10,276,BELARUS,Gladstone,53,28
ERR1788376,19A,204,1118,BRAZIL,Gladstone,-14.235004,-51.92528
ERR1788387,19A,204,2880,BRAZIL,Gladstone,-14.235004,-51.92528
ERR1788396,19A,204,2878,BRAZIL,Gladstone,-14.235004,-51.92528
ERR1788417,19A,204,2878,BRAZIL,Gladstone,-14.235004,-51.92528
ERR1788429,19A,341,8640,BRAZIL,Gladstone,-14.235004,-51.92528
ERR1788436,19A-I,18,733,BRAZIL,Gladstone,-14.235004,-51.92528
ERR1788442,19A,204,9942,BRAZIL,Gladstone,-14.235004,-51.92528
ERR1788464,19A-I,18,733,BRAZIL,Gladstone,-14.235004,-51.92528
ERR1788465,19A,204,1118,BRAZIL,Gladstone,-14.235004,-51.92528
ERR1788479,19A-II,10,276,BRAZIL,Gladstone,-14.235004,-51.92528
ERR1788528,19A,1,202,BRAZIL,Gladstone,-14.235004,-51.92528
ERR1788574,19A,341,9793,BRAZIL,Gladstone,-14.235004,-51.92528
ERR1795460,19A,4,667,BRAZIL,Gladstone,-14.235004,-51.92528
ERR1795469,19A,204,2878,BRAZIL,Gladstone,-14.235004,-51.92528
ERR1795480,19A-II,4,199,BRAZIL,Gladstone,-14.235004,-51.92528
ERR1795484,19A,1,320,BRAZIL,Gladstone,-14.235004,-51.92528
ERR2089372,19A,1,320,BRAZIL,Gladstone,-14.235004,-51.92528
ERR2089401,19A,204,1118,BRAZIL,Gladstone,-14.235004,-51.92528
ERR2089402,19A,341,8640,BRAZIL,Gladstone,-14.235004,-51.92528
ERR2089424,19A,1,320,BRAZIL,Gladstone,-14.235004,-51.92528
ERR2089435,19A,1,320,BRAZIL,Gladstone,-14.235004,-51.92528
ERR2089438,19A,1,320,BRAZIL,Gladstone,-14.235004,-51.92528
ERR2089446,19A,204,2880,BRAZIL,Gladstone,-14.235004,-51.92528
ERR2089454,19A,204,9838,BRAZIL,Gladstone,-14.235004,-51.92528
ERR2089477,19A,1,320,BRAZIL,Gladstone,-14.235004,-51.92528
ERR2089485,19A,1,320,BRAZIL,Gladstone,-14.235004,-51.92528
ERR2089491,19A,204,1118,BRAZIL,Gladstone,-14.235004,-51.92528
ERR2089497,19A-II,10,276,BRAZIL,Gladstone,-14.235004,-51.92528
ERR2089513,19A,1,1451,BRAZIL,Gladstone,-14.235004,-51.92528
ERR2089528,19A,1,320,BRAZIL,Gladstone,-14.235004,-51.92528
ERR2089531,19A,1,320,BRAZIL,Gladstone,-14.235004,-51.92528
ERR2089541,19A-II,10,276,BRAZIL,Gladstone,-14.235004,-51.92528
ERR2089554,19A,1,320,BRAZIL,Gladstone,-14.235004,-51.92528
ERR2089560,19A,1,320,BRAZIL,Gladstone,-14.235004,-51.92528
ERR2089651,19A-I,5,172,ISRAEL,Gladstone,31.5,34.75
ERR2089659,19A-I,5,172,ISRAEL,Gladstone,31.5,34.75
ERR2089668,19A-II,10,276,ISRAEL,Gladstone,31.5,34.75
ERR2089671,19A-II,10,276,ISRAEL,Gladstone,31.5,34.75
ERR2089706,19A-I,5,172,ISRAEL,Gladstone,31.5,34.75
ERR2089760,19A-I,5,172,ISRAEL,Gladstone,31.5,34.75
ERR2089763,19A,27,695,ISRAEL,Gladstone,31.5,34.75
ERR2089769,19A-I,5,172,ISRAEL,Gladstone,31.5,34.75
ERR2089770,19A-I,5,172,ISRAEL,Gladstone,31.5,34.75
ERR2089827,19A-I,5,172,ISRAEL,Gladstone,31.5,34.75
ERR2089828,19A-I,5,172,ISRAEL,Gladstone,31.5,34.75
ERR2089835,19A-I,5,172,ISRAEL,Gladstone,31.5,34.75
ERR2090401,19A-I,11,2927,ISRAEL,Gladstone,31.5,34.75
ERR2090419,19A-I,11,2927,ISRAEL,Gladstone,31.5,34.75
ERR2090420,19A,27,695,ISRAEL,Gladstone,31.5,34.75
ERR2090514,19A-I,5,172,ISRAEL,Gladstone,31.5,34.75
ERR2090548,19A-II,10,276,ISRAEL,Gladstone,31.5,34.75
ERR2090549,19A-I,9,63,ISRAEL,Gladstone,31.5,34.75
ERR2090559,19A-I,11,2927,ISRAEL,Gladstone,31.5,34.75
ERR2090564,19A-I,5,4293,ISRAEL,Gladstone,31.5,34.75
ERR2090565,19A,1,320,ISRAEL,Gladstone,31.5,34.75
ERR2090569,19A-I,5,172,ISRAEL,Gladstone,31.5,34.75
ERR2090577,19A-I,11,2927,ISRAEL,Gladstone,31.5,34.75
ERR2090578,19A-II,10,276,ISRAEL,Gladstone,31.5,34.75
ERR2090580,19A-I,11,2927,ISRAEL,Gladstone,31.5,34.75
ERR2090585,19A-I,5,172,ISRAEL,Gladstone,31.5,34.75
ERR2090587,19A-I,262,3499,ISRAEL,Gladstone,31.5,34.75
ERR2090595,19A-I,5,172,ISRAEL,Gladstone,31.5,34.75
ERR2090599,19A-I,11,2927,ISRAEL,Gladstone,31.5,34.75
ERR2090609,19A-I,5,172,ISRAEL,Gladstone,31.5,34.75
ERR2090611,19A-I,5,172,ISRAEL,Gladstone,31.5,34.75
ERR2090650,19A-I,10,5567,ISRAEL,Gladstone,31.5,34.75
ERR2090660,19A,1,320,ISRAEL,Gladstone,31.5,34.75
ERR2090671,19A-I,11,2927,ISRAEL,Gladstone,31.5,34.75
ERR2090686,19A-I,5,172,ISRAEL,Gladstone,31.5,34.75
ERR2090688,19A-I,11,2927,ISRAEL,Gladstone,31.5,34.75
ERR2090714,19A-I,5,172,ISRAEL,Gladstone,31.5,34.75
ERR2090719,19A-I,11,2927,ISRAEL,Gladstone,31.5,34.75
ERR2090783,19A-I,5,2345,ISRAEL,Gladstone,31.5,34.75
ERR2090791,19A-I,11,2927,ISRAEL,Gladstone,31.5,34.75
ERR2090798,19A-I,5,172,ISRAEL,Gladstone,31.5,34.75
ERR2090845,19A-I,4,416,ISRAEL,Gladstone,31.5,34.75
ERR2090905,19A-I,5,172,ISRAEL,Gladstone,31.5,34.75
ERR2090915,19A-I,262,3499,ISRAEL,Gladstone,31.5,34.75
ERR2090922,19A-II,10,276,ISRAEL,Gladstone,31.5,34.75
ERR2090927,19A-I,5,172,ISRAEL,Gladstone,31.5,34.75
ERR2090949,19A-I,5,172,ISRAEL,Gladstone,31.5,34.75
ERR2090973,19A-I,5,172,ISRAEL,Gladstone,31.5,34.75
ERR2090975,19A-I,5,172,ISRAEL,Gladstone,31.5,34.75
ERR2091003,19A-I,5,172,ISRAEL,Gladstone,31.5,34.75
ERR2091005,19A,585,663,ISRAEL,Gladstone,31.5,34.75
ERR2091039,19A-I,11,5848,ISRAEL,Gladstone,31.5,34.75
ERR2091068,19A-I,11,2927,ISRAEL,Gladstone,31.5,34.75
ERR2091071,19A-I,121,2929,ISRAEL,Gladstone,31.5,34.75
ERR2091074,19A-I,5,172,ISRAEL,Gladstone,31.5,34.75
ERR2091082,19A-I,5,172,ISRAEL,Gladstone,31.5,34.75
ERR2091089,19A-I,11,2927,ISRAEL,Gladstone,31.5,34.75
ERR2091124,19A-I,11,2927,ISRAEL,Gladstone,31.5,34.75
ERR2091146,19A-I,11,2927,ISRAEL,Gladstone,31.5,34.75
ERR2091149,19A-I,5,172,ISRAEL,Gladstone,31.5,34.75
ERR2091172,19A-I,11,2927,ISRAEL,Gladstone,31.5,34.75
ERR2091178,19A,27,695,ISRAEL,Gladstone,31.5,34.75
ERR2091192,19A-I,5,13919,ISRAEL,Gladstone,31.5,34.75
ERR2091232,19A-I,11,2927,ISRAEL,Gladstone,31.5,34.75
ERR2091248,19A-I,5,172,ISRAEL,Gladstone,31.5,34.75
ERR2091274,19A-I,5,172,ISRAEL,Gladstone,31.5,34.75
ERR2612043,19A-I,5,172,ISRAEL,Gladstone,31.5,34.75
ERR2612045,19A-I,11,2927,ISRAEL,Gladstone,31.5,34.75
ERR2612046,19A-I,5,172,ISRAEL,Gladstone,31.5,34.75
ERR2612052,19A-I,5,172,ISRAEL,Gladstone,31.5,34.75
ERR2612085,19A-I,121,2929,ISRAEL,Gladstone,31.5,34.75
ERR2612091,19A-I,5,172,ISRAEL,Gladstone,31.5,34.75
ERR2667086,19A,1,320,CHINA,Gladstone,22.2996535,114.1675485
ERR2667087,19A,1,320,CHINA,Gladstone,22.2996535,114.1675485
ERR2667088,19A-II,4,199,CHINA,Gladstone,22.2996535,114.1675485
ERR2667089,19A,1,320,CHINA,Gladstone,22.2996535,114.1675485
ERR2667090,19A,1,320,CHINA,Gladstone,22.2996535,114.1675485
ERR2667091,19A,18,1201,CHINA,Gladstone,22.2996535,114.1675485
ERR2667093,19A,1,320,CHINA,Gladstone,22.2996535,114.1675485
ERR2667094,19A,1,320,CHINA,Gladstone,22.2996535,114.1675485
ERR2667099,19A,1,320,CHINA,Gladstone,22.2996535,114.1675485
ERR2667104,19A,1,320,CHINA,Gladstone,22.2996535,114.1675485
ERR2667107,19A,23,93,CHINA,Gladstone,22.2996535,114.1675485
ERR2667113,19A,1,320,CHINA,Gladstone,22.2996535,114.1675485
ERR2667121,19A,1,320,CHINA,Gladstone,22.2996535,114.1675485
ERR2667123,19A,1,320,CHINA,Gladstone,22.2996535,114.1675485
ERR2667128,19A,1,13934,CHINA,Gladstone,22.2996535,114.1675485
ERR2667136,19A,1,320,CHINA,Gladstone,22.2996535,114.1675485
ERR2667137,19A-I,17,2062,CHINA,Gladstone,22.2996535,114.1675485
ERR2667138,19A,1,320,CHINA,Gladstone,22.2996535,114.1675485
ERR2667146,19A-I,10,5034,CHINA,Gladstone,22.2996535,114.1675485
ERR311077,19A-II,17,2062,MALAWI,Gladstone,-13.5,34
ERR316714,19A,53,847,MALAWI,Gladstone,-13.5,34
ERR316782,19A,53,847,MALAWI,Gladstone,-13.5,34
ERR316798,19A,53,847,MALAWI,Gladstone,-13.5,34
ERR425447,19A,1,320,USA,Gladstone,40,-100
ERR425452,19A,6,4026,USA,Gladstone,40,-100
ERR425460,19A,27,695,USA,Gladstone,40,-100
ERR425464,19A,6,156,USA,Gladstone,40,-100
ERR425474,19A,1,320,USA,Gladstone,40,-100
ERR425475,19A,1,320,USA,Gladstone,40,-100
ERR425477,19A,1,320,USA,Gladstone,40,-100
ERR425478,19A,4,199,USA,Gladstone,40,-100
ERR425482,19A,27,695,USA,Gladstone,40,-100
ERR425489,19A,4,199,USA,Gladstone,40,-100
ERR425490,19A,1,320,USA,Gladstone,40,-100
ERR425492,19A,4,2273,USA,Gladstone,40,-100
ERR425497,19A,6,4026,USA,Gladstone,40,-100
ERR425507,19A-II,10,276,PERU,Gladstone,-12,-76.8333
ERR433598,19A,97,1339,USA,Gladstone,40,-100
ERR433627,19A,1,320,USA,Gladstone,40,-100
ERR433630,19A,1,1451,USA,Gladstone,40,-100
ERR433635,19A,27,695,USA,Gladstone,40,-100
ERR433639,19A,1,320,USA,Gladstone,40,-100
ERR433650,19A-II,16,2346,USA,Gladstone,40,-100
ERR433651,19A,1,320,USA,Gladstone,40,-100
ERR433653,19A,1,1451,USA,Gladstone,40,-100
ERR433683,19A-II,10,276,PERU,Gladstone,-12,-76.8333
ERR433693,19A,1,320,PERU,Gladstone,-12,-76.8333
ERR433698,19A,1,320,USA,Gladstone,40,-100
ERR433702,19A,4,199,USA,Gladstone,40,-100
ERR433705,19A,4,199,USA,Gladstone,40,-100
ERR433706,19A,1,1451,USA,Gladstone,40,-100
ERR433707,19A,1,320,USA,Gladstone,40,-100
ERR433710,19A,4,667,USA,Gladstone,40,-100
ERR433718,19A,1,320,USA,Gladstone,40,-100
ERR433720,19A,4,199,USA,Gladstone,40,-100
ERR433725,19A,4,199,USA,Gladstone,40,-100
ERR433773,19A,4,199,USA,Gladstone,40,-100
ERR433875,19A,1,320,PERU,Gladstone,-12,-76.8333
ERR433901,19A,4,199,USA,Gladstone,40,-100
ERR433911,19A,1,1451,USA,Gladstone,40,-100
ERR433915,19A,4,199,USA,Gladstone,40,-100
ERR433918,19A,1,320,USA,Gladstone,40,-100
ERR433919,19A,1,1451,USA,Gladstone,40,-100
ERR433929,19A,1,1451,USA,Gladstone,40,-100
ERR433937,19A,4,199,USA,Gladstone,40,-100
ERR433939,19A,27,2365,USA,Gladstone,40,-100
ERR433967,19A,1,320,USA,Gladstone,40,-100
ERR433969,19A,4,199,USA,Gladstone,40,-100
ERR433974,19A,4,199,USA,Gladstone,40,-100
ERR433978,19A,4,199,USA,Gladstone,40,-100
ERR433991,19A,1,1451,USA,Gladstone,40,-100
ERR433992,19A,1,320,USA,Gladstone,40,-100
ERR433997,19A,4,199,USA,Gladstone,40,-100
ERR434001,19A-I,10,230,USA,Gladstone,40,-100
ERR434002,19A,324,292,USA,Gladstone,40,-100
ERR434007,19A,16,66,USA,Gladstone,40,-100
ERR434016,19A,4,199,USA,Gladstone,40,-100
ERR434017,19A,1,320,USA,Gladstone,40,-100
ERR439002,19A,53,847,THE_GAMBIA,Gladstone,13.20593907,-16.19350467
ERR449145,19A,4,199,USA,Gladstone,40,-100
ERR449237,19A,4,667,USA,Gladstone,40,-100
ERR449264,19A,4,668,USA,Gladstone,40,-100
ERR460199,19A,4,667,USA,Gladstone,40,-100
ERR460200,19A,97,1339,USA,Gladstone,40,-100
ERR460201,19A,1,320,USA,Gladstone,40,-100
ERR490718,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR490719,19A,1,320,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR490726,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR490728,19A-I,17,12226,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR490731,19A-I,5,9913,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR490735,19A-I,17,7899,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR490736,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR490739,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR490751,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR490756,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR490757,19A-I,17,6121,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR490758,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR490760,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR490769,19A-I,17,12521,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR490779,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR490786,19A-I,5,9913,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR490797,19A-I,17,9900,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR490798,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR501468,19A,6,2733,USA,Gladstone,40,-100
ERR501507,19A,53,847,MALAWI,Gladstone,-13.5,34
ERR501527,19A,53,847,MALAWI,Gladstone,-13.5,34
ERR501542,19A-I,415,5662,PERU,Gladstone,-12,-76.8333
ERR505468,19A,252,5460,PERU,Gladstone,-12,-76.8333
ERR505494,19A,252,5460,PERU,Gladstone,-12,-76.8333
ERR505683,19A-II,10,276,PERU,Gladstone,-12,-76.8333
ERR505688,19A,252,5460,PERU,Gladstone,-12,-76.8333
ERR505730,19A,1,320,USA,Gladstone,40,-100
ERR505733,19A,1,320,USA,Gladstone,40,-100
ERR505738,19A,27,695,USA,Gladstone,40,-100
ERR505742,19A,6,156,USA,Gladstone,40,-100
ERR505745,19A,4,199,USA,Gladstone,40,-100
ERR505747,19A,27,695,USA,Gladstone,40,-100
ERR505748,19A,1,320,USA,Gladstone,40,-100
ERR505750,19A,27,695,USA,Gladstone,40,-100
ERR505753,19A,1,320,USA,Gladstone,40,-100
ERR505756,19A,27,695,USA,Gladstone,40,-100
ERR505762,19A-II,5,8197,USA,Gladstone,40,-100
ERR505766,19A,1,320,USA,Gladstone,40,-100
ERR505768,19A,4,199,USA,Gladstone,40,-100
ERR505770,19A,27,695,USA,Gladstone,40,-100
ERR505771,19A,1,320,USA,Gladstone,40,-100
ERR505772,19A,4,667,USA,Gladstone,40,-100
ERR505773,19A,27,695,USA,Gladstone,40,-100
ERR505774,19A,1,320,USA,Gladstone,40,-100
ERR505778,19A,1,320,USA,Gladstone,40,-100
ERR505779,19A,1,320,USA,Gladstone,40,-100
ERR505782,19A,1,320,USA,Gladstone,40,-100
ERR505786,19A,1,320,USA,Gladstone,40,-100
ERR505789,19A,4,1756,USA,Gladstone,40,-100
ERR505790,19A,27,695,USA,Gladstone,40,-100
ERR505791,19A,1,9356,USA,Gladstone,40,-100
ERR505793,19A,4,199,USA,Gladstone,40,-100
ERR505794,19A,1,320,USA,Gladstone,40,-100
ERR505800,19A,1,320,USA,Gladstone,40,-100
ERR505801,19A,1,320,USA,Gladstone,40,-100
ERR505803,19A,1,10143,USA,Gladstone,40,-100
ERR505805,19A,5,8197,USA,Gladstone,40,-100
ERR505847,19A,1,320,USA,Gladstone,40,-100
ERR505848,19A,97,8207,USA,Gladstone,40,-100
ERR505849,19A,10,3936,USA,Gladstone,40,-100
ERR505868,19A,4,667,USA,Gladstone,40,-100
ERR505871,19A,27,695,USA,Gladstone,40,-100
ERR505886,19A,4,199,USA,Gladstone,40,-100
ERR505897,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR505899,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR505905,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR505914,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR505920,19A-I,17,2062,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR505928,19A-I,17,6121,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
ERR505940,19A-I,17,4869,SOUTH_AFRICA,Gladstone,-33.918861,18.4233
